logged_at_berlin,dwd_latest,dwd_lag_min,dwd_values_today,dwd_max,dwd_max_time,metar_latest,metar_lag_min,metar_values_today,metar_max,metar_max_time,dwd_STATIONS_ID,dwd_MESS_DATUM,dwd_QN,dwd_PP_10,dwd_TT_10,dwd_TM5_10,dwd_RF_10,dwd_TD_10,metar_icaoId,metar_receiptTime,metar_obsTime,metar_reportTime,metar_temp,metar_dewp,metar_wdir,metar_wspd,metar_visib,metar_altim,metar_qcField,metar_metarType,metar_rawOb,metar_lat,metar_lon,metar_elev,metar_name,metar_cover,metar_fltCat,metar_clouds
2026-07-09 19:04,2026-07-09 16:20,164,99,25.7,2026-07-09 15:20,2026-07-09 18:50,14,38,26,2026-07-09 17:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-09 19:12,2026-07-09 16:20,172,99,25.7,2026-07-09 15:20,2026-07-09 18:50,22,38,26,2026-07-09 17:20,1262,202607091620,2,964.1,25.0,27.0,45.1,12.3,EDDM,2026-07-09T16:53:25.413Z,1783615800,2026-07-09T17:00:00.000Z,25,12,340,6,6+,1016,18,METAR,METAR EDDM 091650Z AUTO 34006KT 300V040 CAVOK 25/12 Q1016 NOSIG,48.348,11.813,445,"Munich Intl, BY, DE",CAVOK,VFR,[]
2026-07-09 20:10,2026-07-09 17:20,170,105,25.7,2026-07-09 15:20,2026-07-09 19:50,20,40,26,2026-07-09 17:20,1262,202607091720,2,964.1,24.5,25.3,46.0,12.1,EDDM,2026-07-09T17:53:29.885Z,1783619400,2026-07-09T18:00:00.000Z,24,13,350,4,6+,1016,18,METAR,METAR EDDM 091750Z AUTO 35004KT 320V020 CAVOK 24/13 Q1016 NOSIG,48.348,11.813,445,"Munich Intl, BY, DE",CAVOK,VFR,[]
2026-07-09 20:49,2026-07-09 17:50,179,108,25.7,2026-07-09 15:20,2026-07-09 20:20,29,41,26,2026-07-09 17:20,1262,202607091750,2,964.1,24.0,23.6,48.2,12.4,EDDM,2026-07-09T18:23:57.861Z,1783621200,2026-07-09T18:20:00.000Z,24,13,360,4,6+,1016,18,METAR,METAR EDDM 091820Z AUTO 36004KT 320V030 CAVOK 24/13 Q1016 NOSIG,48.348,11.813,445,"Munich Intl, BY, DE",CAVOK,VFR,[]
2026-07-09 20:50,2026-07-09 18:20,150,111,25.7,2026-07-09 15:20,2026-07-09 20:20,30,41,26,2026-07-09 17:20,1262,202607091820,2,964.2,23.3,22.5,50.8,12.5,EDDM,2026-07-09T18:23:57.861Z,1783621200,2026-07-09T18:20:00.000Z,24,13,360,4,6+,1016,18,METAR,METAR EDDM 091820Z AUTO 36004KT 320V030 CAVOK 24/13 Q1016 NOSIG,48.348,11.813,445,"Munich Intl, BY, DE",CAVOK,VFR,[]
2026-07-09 21:00,2026-07-09 18:20,160,111,25.7,2026-07-09 15:20,2026-07-09 20:50,10,42,26,2026-07-09 17:20,1262,202607091820,2,964.2,23.3,22.5,50.8,12.5,EDDM,2026-07-09T18:53:24.087Z,1783623000,2026-07-09T19:00:00.000Z,23,13,350,3,6+,1016,18,METAR,METAR EDDM 091850Z AUTO 35003KT 320V030 CAVOK 23/13 Q1016 NOSIG,48.348,11.813,445,"Munich Intl, BY, DE",CAVOK,VFR,[]
2026-07-09 21:10,2026-07-09 18:20,170,111,25.7,2026-07-09 15:20,2026-07-09 20:50,20,42,26,2026-07-09 17:20,1262,202607091820,2,964.2,23.3,22.5,50.8,12.5,EDDM,2026-07-09T18:53:24.087Z,1783623000,2026-07-09T19:00:00.000Z,23,13,350,3,6+,1016,18,METAR,METAR EDDM 091850Z AUTO 35003KT 320V030 CAVOK 23/13 Q1016 NOSIG,48.348,11.813,445,"Munich Intl, BY, DE",CAVOK,VFR,[]
2026-07-09 21:20,2026-07-09 18:50,150,114,25.7,2026-07-09 15:20,2026-07-09 20:50,30,42,26,2026-07-09 17:20,1262,202607091850,2,964.2,22.5,21.2,53.5,12.6,EDDM,2026-07-09T18:53:24.087Z,1783623000,2026-07-09T19:00:00.000Z,23,13,350,3,6+,1016,18,METAR,METAR EDDM 091850Z AUTO 35003KT 320V030 CAVOK 23/13 Q1016 NOSIG,48.348,11.813,445,"Munich Intl, BY, DE",CAVOK,VFR,[]
2026-07-09 21:30,2026-07-09 18:50,160,114,25.7,2026-07-09 15:20,2026-07-09 21:20,10,43,26,2026-07-09 17:20,1262,202607091850,2,964.2,22.5,21.2,53.5,12.6,EDDM,2026-07-09T19:23:30.413Z,1783624800,2026-07-09T19:20:00.000Z,21,13,360,2,6+,1017,18,METAR,METAR EDDM 091920Z AUTO 36002KT CAVOK 21/13 Q1017 NOSIG,48.348,11.813,445,"Munich Intl, BY, DE",CAVOK,VFR,[]
2026-07-09 21:40,2026-07-09 18:50,170,114,25.7,2026-07-09 15:20,2026-07-09 21:20,20,43,26,2026-07-09 17:20,1262,202607091850,2,964.2,22.5,21.2,53.5,12.6,EDDM,2026-07-09T19:23:30.413Z,1783624800,2026-07-09T19:20:00.000Z,21,13,360,2,6+,1017,18,METAR,METAR EDDM 091920Z AUTO 36002KT CAVOK 21/13 Q1017 NOSIG,48.348,11.813,445,"Munich Intl, BY, DE",CAVOK,VFR,[]
