Peakzeit TT_10 nach Kalenderwoche – München-Flughafen (DWD 01262)
Zeitraum: 2020–2026 | 2375 Tage | Ortszeit Europe/Berlin

 KW  Monat      Tage  Median      Q1      Q3  Ø Max°C
----------------------------------------------------
  1  –            47   12:50   11:50   13:30      4.4
  2  –            49   13:20   12:30   14:20      2.6
  3  January      49   13:40   12:40   14:20      3.8
  4  –            49   13:30   11:50   14:20      3.5
  5  –            49   12:40   11:30   14:10      6.9
  6  –            49   14:10   13:10   14:30      5.2
  7  February     49   14:00   12:50   14:30      8.6
  8  –            49   13:40   13:00   14:30      9.3
  9  –            49   13:50   12:40   14:20      8.9
 10  –            49   14:20   13:30   14:40     10.4
 11  March        49   13:40   12:40   14:30     10.8
 12  –            49   13:50   13:00   14:20     13.6
 13  –            49   14:10   12:50   14:40     12.2
 14  –            49   14:10   13:20   14:40     12.4
 15  –            49   14:20   13:40   14:50     15.1
 16  April        49   14:00   12:20   14:50     15.3
 17  –            49   14:10   13:30   15:00     15.5
 18  –            49   14:10   13:00   14:50     18.6
 19  –            49   14:40   13:10   15:20     18.4
 20  May          49   14:10   13:10   14:40     17.7
 21  –            49   14:30   13:20   15:10     19.9
 22  –            49   14:00   13:20   14:40     22.1
 23  –            49   14:10   13:10   15:00     22.6
 24  June         49   14:40   14:00   15:20     23.4
 25  –            49   14:20   13:00   15:00     25.3
 26  –            49   14:30   13:40   15:20     26.8
 27  –            49   14:30   13:20   15:10     24.9
 28  –            42   14:50   13:50   15:30     25.1
 29  July         39   14:20   13:10   15:00     26.3
 30  –            42   14:05   12:20   15:00     24.5
 31  –            42   14:15   13:20   15:10     24.4
 32  –            42   14:40   13:50   15:00     25.9
 33  August       42   14:20   13:30   15:00     27.0
 34  –            42   13:50   12:50   14:40     23.5
 35  –            42   14:10   13:00   14:50     22.4
 36  –            42   14:10   13:10   14:40     23.4
 37  September    42   14:00   12:00   14:30     20.2
 38  –            42   13:35   13:00   14:00     20.3
 39  –            42   13:25   12:10   14:30     17.6
 40  –            42   13:15   12:10   13:40     15.8
 41  –            42   13:00   12:10   14:00     16.1
 42  October      42   13:10   12:20   13:30     14.1
 43  –            42   13:10   12:40   13:40     14.6
 44  –            42   12:45   11:40   13:20     11.8
 45  –            42   13:30   12:30   14:00      9.2
 46  November     42   12:40   11:50   13:50      9.1
 47  –            42   12:40   11:10   13:40      6.0
 48  –            42   13:00   10:30   13:50      4.0
 49  –            42   12:50   11:40   14:00      3.1
 50  December     42   12:40   03:10   14:20      3.9
 51  –            42   13:30   12:20   15:10      5.8
 52  –            42   13:10   12:10   13:50      6.9
 53  –             7   12:30   10:40   18:50      2.9
